Symphony $<text> $<selection> 3.6.0 $<started_on> $<monday:u>, $<june:u> 7, 2021, 2:39 PM
$(3091)KCAT.
$(3090)
$(1232)
$(1239)
$(3093)
20210607143944 BRS/Search-Engine v.62 started for seltext1
  1 records found for #2: "954925373795".NM02.
  1 records found for #4: "954925389246".NM02.
  1 records found for #6: "954925458028".NM02.
  1 records found for #8: "954925517582".NM02.
  1 records found for #10: "954925525804".NM02.
  1 records found for #12: "954926247587".NM02.
  1 records found for #14: "954927548286".NM02.
  1 records found for #16: "954927687731".NM02.
  1 records found for #18: "110975506069153".NM02.
  0 records found for #19: "110975506072061".NM02.
  0 records found for #20: "110976725601464".NM02.
  0 records found for #21: "110976725601490".NM02.
  1 records found for #23: "110976725601496".NM02.
  1 records found for #25: "110976725601530".NM02.
  0 records found for #26: "110976725601568".NM02.
  1 records found for #28: "110976725601578".NM02.
  0 records found for #29: "110978966550108".NM02.
  1 records found for #31: "110978966561596".NM02.
  0 records found for #32: "110978976472687".NM02.
  0 records found for #33: "110978976781469".NM02.
  1 records found for #35: "110978977123932".NM02.
  1 records found for #37: "110978977123974".NM02.
  1 records found for #39: "110978977561725".NM02.
  0 records found for #40: "110978978196304".NM02.
  0 records found for #41: "110978978382621".NM02.
  0 records found for #42: "110978978383845".NM02.
  1 records found for #44: "110978978740335".NM02.
  0 records found for #45: "110978978742725".NM02.
  1 records found for #47: "110978978950286".NM02.
  1 records found for #49: "110978978959400".NM02.
  0 records found for #50: "110978979117671".NM02.
  1 records found for #52: "110978979119727".NM02.
  0 records found for #53: "110978979269430".NM02.
  1 records found for #55: "110978979594155".NM02.
  1 records found for #57: "110978984250706".NM02.
  1 records found for #59: "110978984252770".NM02.
  0 records found for #60: "110978984444249".NM02.
  0 records found for #61: "110978984567017".NM02.
  0 records found for #62: "110978984567031".NM02.
  0 records found for #63: "111021054527096".NM02.
  0 records found for #64: "111041289217016".NM02.
  0 records found for #65: "111056648713030".NM02.
  1 records found for #67: "111093463275000".NM02.
  1 records found for #69: "111093463275004".NM02.
  1 records found for #71: "111093463275006".NM02.
  1 records found for #73: "111093463275008".NM02.
  1 records found for #75: "111093463275010".NM02.
  0 records found for #76: "111093463276012".NM02.
  1 records found for #78: "111093463276016".NM02.
  1 records found for #80: "111093463276018".NM02.
  1 records found for #82: "111093463276022".NM02.
  0 records found for #83: "111093463276036".NM02.
  1 records found for #85: "111093463276038".NM02.
  0 records found for #86: "111093463528022".NM02.
  1 records found for #88: "111093463528024".NM02.
  1 records found for #90: "111093463528032".NM02.
  0 records found for #91: "991042725893012".NM02.
  1 records found for #93: "991042727098066".NM02.
  0 records found for #94: "991042728070824".NM02.
  1 records found for #96: "991042728083666".NM02.
  0 records found for #97: "991042731722898".NM02.
  1 records found for #99: "991042732533282".NM02.
  1 records found for #101: "991042732557944".NM02.
  0 records found for #102: "991042732613860".NM02.
  1 records found for #104: "991042732715526".NM02.
  0 records found for #105: "991042732749910".NM02.
  1 records found for #107: "991042736744972".NM02.
  0 records found for #108: "991042741261108".NM02.
  1 records found for #110: "991042749630298".NM02.
  1 records found for #112: "1000000000017193".NM02.
  0 records found for #113: "1000000000026299".NM02.
  0 records found for #114: "1000000000026308".NM02.
  1 records found for #116: "1000000000210332".NM02.
  0 records found for #117: "1000000000210342".NM02.
  0 records found for #118: "1000000000210345".NM02.
  0 records found for #119: "1000000000210353".NM02.
  0 records found for #120: "1000000000210356".NM02.
  0 records found for #121: "1000000000210357".NM02.
  0 records found for #122: "1000000000210359".NM02.
  0 records found for #123: "1000000000210360".NM02.
  0 records found for #124: "1000000000210368".NM02.
  0 records found for #125: "1000000000210373".NM02.
  0 records found for #126: "1000000000210374".NM02.
  0 records found for #127: "1000000000210380".NM02.
  0 records found for #128: "1000000000210389".NM02.
  0 records found for #129: "1000000000210390".NM02.
  0 records found for #130: "1000000000210391".NM02.
  1 records found for #132: "1000000000210392".NM02.
  0 records found for #133: "1000000000210393".NM02.
  0 records found for #134: "1000000000210395".NM02.
  0 records found for #135: "1000000000210401".NM02.
  0 records found for #136: "1000000000210402".NM02.
  0 records found for #137: "1000000000210403".NM02.
  1 records found for #139: "1000000000220654".NM02.
  1 records found for #141: "1000000000222777".NM02.
  1 records found for #143: "1000000000222821".NM02.
  1 records found for #145: "1000000000222871".NM02.
  1 records found for #147: "1000000000222962".NM02.
  1 records found for #149: "1000000000273120".NM02.
  1 records found for #151: "1000000000277683".NM02.
  0 records found for #152: "1000000000289349".NM02.
  1 records found for #154: "1000000000289640".NM02.
  1 records found for #156: "1000000000289645".NM02.
  0 records found for #157: "1000000000327275".NM02.
  1 records found for #159: "1000000000332045".NM02.
  1 records found for #161: "1000000000374948".NM02.
  1 records found for #163: "1000000000391719".NM02.
  0 records found for #164: "1000000000423084".NM02.
  1 records found for #166: "1000000000440199".NM02.
  1 records found for #168: "1000000000498268".NM02.
  0 records found for #169: "1000000000525483".NM02.
  1 records found for #171: "1000000000568086".NM02.
  0 records found for #172: "1000000000698250".NM02.
  0 records found for #173: "1000000000698279".NM02.
  0 records found for #174: "1000000000698585".NM02.
  0 records found for #175: "1000000000698723".NM02.
  0 records found for #176: "1000000000714475".NM02.
  1 records found for #178: "1000000000717900".NM02.
  1 records found for #180: "1000000000745569".NM02.
  1 records found for #182: "1000000000745977".NM02.
  0 records found for #183: "1000000000749899".NM02.
  1 records found for #185: "1000000000760174".NM02.
  0 records found for #186: "1000000000798864".NM02.
  1 records found for #188: "1000000000804372".NM02.
  1 records found for #190: "1000000000809464".NM02.
  0 records found for #191: "2550000000014592".NM02.
  0 records found for #192: "2550000000014870".NM02.
  0 records found for #193: "2550000000014886".NM02.
  1 records found for #195: "2560000000078767".NM02.
  0 records found for #196: "2660000000008952".NM02.
  1 records found for #198: "2670000000015210".NM02.
  1 records found for #200: "2670000000027745".NM02.
  1 records found for #202: "2670000000033853".NM02.
  0 records found for #203: "2670000000054139".NM02.
  1 records found for #205: "2670000000070867".NM02.
  1 records found for #207: "2670000000120804".NM02.
  1 records found for #209: "2670000000132138".NM02.
  1 records found for #211: "2670000000132157".NM02.
  1 records found for #213: "2670000000157893".NM02.
  1 records found for #215: "2670000000212675".NM02.
  1 records found for #217: "2670000000233500".NM02.
  0 records found for #218: "2670000000263858".NM02.
  1 records found for #220: "2670000000263881".NM02.
  1 records found for #222: "2670000000274903".NM02.
  1 records found for #224: "2670000000274929".NM02.
  1 records found for #226: "2670000000312307".NM02.
  1 records found for #228: "2670000000338858".NM02.
  1 records found for #230: "2670000000338884".NM02.
  1 records found for #232: "2670000000345073".NM02.
  1 records found for #234: "2670000000374171".NM02.
  1 records found for #236: "2670000000374246".NM02.
  0 records found for #237: "2670000000395304".NM02.
  0 records found for #238: "2670000000395427".NM02.
  0 records found for #239: "2670000000409741".NM02.
  1 records found for #241: "2670000000409767".NM02.
  0 records found for #242: "2670000000485462".NM02.
