Symphony $<text> $<selection> 3.6.0 $<started_on> $<wednesday:u>, $<june:u> 23, 2021, 11:18 AM
$(3091)KCAT.
$(3090)
$(1232)
$(1239)
$(3093)
20210623111840 BRS/Search-Engine v.62 started for seltext1
  1 records found for #2: 0005-545X.T022.
  3 records found for #4: 0008-3364.T022.
  0 records found for #5: 0028-4947.T022.
  1 records found for #7: 0041-672X.T022.
  1 records found for #9: 0097-9554.T022.
  1 records found for #11: 1933-9348.T022.
  0 records found for #12: 0954-1675.T022.
  0 records found for #13: 2450-8462.T022.
  0 records found for #14: 0001-9704.T022.
  0 records found for #15: 2589-0468.T022.
  0 records found for #16: 2673-2424.T022.
  3 records found for #18: 1860-1324.T022.
  0 records found for #19: 2704-8195.T022.
  0 records found for #20: 0018-2419.T022.
  0 records found for #21: 1504-2944.T022.
  0 records found for #22: 1891-1757.T022.
  0 records found for #23: 1348-673X.T022.
  3 records found for #25: 0021-9673.T022.
  0 records found for #26: 1543-9542.T022.
  0 records found for #27: 1473-5644.T022.
  0 records found for #28: 0023-6152.T022.
  1 records found for #30: 1542-0566.T022.
  1 records found for #32: 0026-3788.T022.
  0 records found for #33: 1585-2350.T022.
  0 records found for #34: 1508-5791.T022.
  1 records found for #36: 1423-0259.T022.
  0 records found for #37: 2386-5822.T022.
  0 records found for #38: 2309-5342.T022.
  0 records found for #39: 1504-291X.T022.
  0 records found for #40: 1944-978X.T022.
  0 records found for #41: 1886-8134.T022.
  1 records found for #43: 1588-256X.T022.
  0 records found for #44: 2632-3559.T022.
  33 $<search> $(1308)
  11 $<search> $(1309)
Symphony $<text> $<selection> $<finished_on> $<wednesday:u>, $<june:u> 23, 2021, 11:18 AM
