Symphony $<text> $<selection> 3.6.0 $<started_on> $<wednesday:u>, $<june:u> 23, 2021, 11:18 AM
$(3091)KCAT.
$(3090)
$(1232)
$(1239)
$(3093)
20210623111841 BRS/Search-Engine v.62 started for seltext1
  0 records found for #1: "7369240".AL04.
  1 records found for #3: "1843946".AL04.
  1 records found for #5: "3656586".AL04.
  1 records found for #7: "2244943".AL04.
  0 records found for #8: "12657792".AL04.
  0 records found for #9: "8316680".AL04.
  0 records found for #10: "15158154".AL04.
  0 records found for #11: "82204485".AL04.
  0 records found for #12: "23059386".AL04.
  0 records found for #13: "27407995".AL04.
  0 records found for #14: "60330140".AL04.
  0 records found for #15: "654506589".AL04.
  0 records found for #16: "4419054".AL04.
  0 records found for #17: "5979212".AL04.
  1 records found for #19: "6280787".AL04.
  0 records found for #20: "556416919".AL04.
  1 records found for #22: "1537742".AL04.
  1 records found for #24: "1537962".AL04.
  1 records found for #26: "2059073".AL04.
  0 records found for #27: "60650275".AL04.
  0 records found for #28: "655203336".AL04.
  0 records found for #29: "8303633".AL04.
  1 records found for #31: "1570506".AL04.
  1 records found for #33: "4604083".AL04.
  0 records found for #34: "2261936".AL04.
  0 records found for #35: "565213461".AL04.
  0 records found for #36: "609709681".AL04.
  0 records found for #37: "9698705".AL04.
  1 records found for #39: "1780664".AL04.
  0 records found for #40: "52526972".AL04.
  1 records found for #42: "4426248".AL04.
  1 records found for #44: "1772390".AL04.
  1 records found for #46: "8189578".AL04.
  0 records found for #47: "51851921".AL04.
  0 records found for #48: "37788051".AL04.
  0 records found for #49: "9802493".AL04.
  0 records found for #50: "616708788".AL04.
  0 records found for #51: "45693657".AL04.
  1 records found for #53: "1757471".AL04.
  0 records found for #54: "28135576".AL04.
  0 records found for #55: "5697578".AL04.
  0 records found for #56: "44918038".AL04.
  0 records found for #57: "1585663".AL04.
  1 records found for #59: "1348709".AL04.
  1 records found for #61: "1587502".AL04.
  0 records found for #62: "1765165".AL04.
  1 records found for #64: "1714630".AL04.
  0 records found for #65: "59112925".AL04.
  1 records found for #67: "1988457".AL04.
  0 records found for #68: "1766652".AL04.
  1 records found for #70: "1767251".AL04.
  0 records found for #71: "1586644".AL04.
  1 records found for #73: "1767483".AL04.
  0 records found for #74: "10152740".AL04.
  1 records found for #76: "1645087".AL04.
  1 records found for #78: "1776690".AL04.
  0 records found for #79: "6084262".AL04.
  0 records found for #80: "71519583".AL04.
  1 records found for #82: "1780999".AL04.
  0 records found for #83: "41107336".AL04.
  0 records found for #84: "20873235".AL04.
  0 records found for #85: "10705062".AL04.
  0 records found for #86: "20411797".AL04.
  1 records found for #88: "1791153".AL04.
  0 records found for #89: "655959382".AL04.
  65 $<search> $(1308)
  24 $<search> $(1309)
Symphony $<text> $<selection> $<finished_on> $<wednesday:u>, $<june:u> 23, 2021, 11:18 AM
